Computational Materials Dataset — 5000 Entries  |  Perovskites · Double Perovskites · Halides · Hydrides · Heuslers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Material_ID,Formula,Material_Type,SG_num,Crystal_System,a_Ang,b_Ang,c_Ang,V0_Ang3,N_atoms,M_avg_amu,chi_avg,r_avg_Ang,VEC,Var_M,Tm_K,XC_functional,Ecut_eV,kpoints,Etot_eVatom,Ecoh_eVatom,B0_GPa,B0prime,NE_Fermi,Eg_eV,q_Bader,omega_D_THz,ZPE_eVatom,FC_max_eVA2,omega_ac_THz,gamma_Gruneisen,theta_D_K,alpha_1e-5K,Cv_JmolK,Cp_JmolK,S_JmolK,Fvib_eVatom,BT_GPa,Fph_eVatom,DOI number
[—],[—],[—],[—],[—],[Å],[Å],[Å],[Å³],[—],[amu],[—],[Å],[e/atom],[amu²],[K],[—],[eV],[—],[eV/at],[eV/at],[GPa],[—],[st/eV],[eV],[e],[THz],[eV/at],[eV/Å²],[THz],[—],[K],[×10⁻⁵K⁻¹],[J/molK],[J/molK],[J/molK],[eV/at],[GPa],[eV/at],[—]
MAT-00001,NdZrO3,Perovskite,33,Orthorhombic,4.1644,3.995,11.6991,194.635,5,88.8158,1.6224,1.5878,5.2834,2007.9479,1056.2273,PBEsol,700,4x4x4,-8.292,6.0606,170.0772,5.4316,12.43,0,0.2737,7.2265,0.1476,9.7863,6.7072,2.5055,346.15,22.8636,41.9073,46.7637,180.7618,-0.0743,167.0236,-0.218,10.1000/SciData.2024.PER00001
MAT-00002,SrNbTe3,Perovskite,196,Cubic,3.7263,3.7263,3.7263,51.741,5,50.8003,2.388,1.4724,5.9025,949.3983,1540.9194,PBEsol,650,12x12x12,-10.1053,1.2795,173.9112,4.9271,3.7902,0,1.1793,12.0545,0.2115,57.5199,2.8427,3.0471,577.41,24.2405,44.8731,46.3859,142.8492,-0.2595,170.9103,-0.3971,10.1000/PhysRevB.2024.PER00002
MAT-00003,LiMnN3,Perovskite,103,Tetragonal,4.1722,4.1984,10.2875,180.202,5,94.651,2.0966,1.3844,3.4194,463.4192,2136.8059,LDA,800,8x8x4,-4.35,4.3083,193.0472,5.1607,8.6085,2.1199,-0.2842,2.7088,0.1204,21.0939,3.564,3.1042,129.75,7.4012,15.2472,16.726,72.8469,-0.108,193.6175,-0.0943,10.1000/PhysRevB.2024.PER00003
MAT-00004,EuRuS3,Perovskite,43,Orthorhombic,4.0986,3.9657,11.289,183.489,5,51.6881,1.5295,1.145,5.1671,1262.3176,1122.5436,PBEsol,500,8x8x4,-5.0368,3.1769,110.4624,4.6431,4.8719,2.2547,1.0211,10.3217,0.0402,13.8504,7.7142,3.2532,494.41,21.1414,33.9283,38.7773,160.1752,-0.0921,109.956,-0.2938,10.1000/JMaterSci.2024.PER00004
MAT-00005,SrZrTe3,Perovskite,217,Cubic,3.7578,3.7578,3.7578,53.064,5,103.1822,2.0925,1.2012,3.9179,1532.205,1153.5456,PBE+U,520,8x8x4,-4.8054,3.0926,231.7039,5.3819,8.9694,3.8548,1.0994,3.9422,0.1156,8.1211,4.2049,1.6906,188.83,4.7635,19.3063,22.2858,50.7067,-0.0317,232.5145,-0.2647,10.1000/PhysRevB.2024.PER00005
MAT-00006,SmCrN3,Perovskite,219,Cubic,4.0545,4.0545,4.0545,66.652,5,41.5963,2.7461,1.3412,5.3482,390.279,1773.3167,LDA,800,6x6x4,-2.6217,3.9304,178.1414,4.9205,4.3711,0,-0.1737,13.9755,0.1209,6.6209,6.6972,3.2196,669.43,4.6373,59.8633,60.4953,141.0032,-0.2184,179.7356,-0.1165,10.1000/ChemMater.2024.PER00006
MAT-00007,PrSnSe3,Perovskite,28,Orthorhombic,4.1612,3.697,12.2273,188.104,5,56.115,1.5486,1.3774,4.1128,2108.5164,2416.5029,PBE,700,6x6x6,-9.0908,3.5903,270.5799,4.2679,14.0726,1.4271,-0.8416,3.0329,0.1201,79.4282,7.1876,2.8212,145.28,26.7784,90.4102,93.0526,76.8672,-0.0761,272.1965,-0.2543,10.1000/npjComputMater.2024.PER00007
MAT-00008,SrSnS3,Perovskite,219,Cubic,3.7567,3.7567,3.7567,53.018,5,92.2753,1.8412,1.5684,3.7229,482.3432,2462.2253,SCAN,800,8x8x8,-10.2073,4.0963,110.6569,6.1237,3.3483,0,-0.2587,19.8803,0.2435,42.5556,1.5792,0.8376,952.27,7.2749,21.864,25.2845,41.9299,-0.1532,112.5995,-0.1734,10.1000/JAlloyComp.2024.PER00008
MAT-00009,NaCoS3,Perovskite,33,Orthorhombic,3.8199,4.3237,10.3817,171.465,5,91.7289,1.6704,1.1619,5.7827,1114.4298,1401.8974,SCAN,700,4x4x4,-2.4438,2.2187,212.5728,6.2744,0.8605,2.1986,0.7208,16.5814,0.0444,15.5255,3.6434,3.4088,794.25,18.0833,93.9721,98.0135,104.1287,-0.0724,207.7512,-0.3574,10.1000/ChemMater.2024.PER00009
